"CAINC1 County personal income summary: personal income, population, per capita personal income"
"CAINC1 County personal income summary: personal income, population, per capita personal income"
County
GeoFIPS,GeoName,2007,2008,2009,2010,2011,2012,2013,2014,2015
05063,"Independence, AR",28362,28967,28239,28997,30211,29958,30239,31476,32666
05065,"Izard, AR",23377,24336,23821,24512,25684,26855,26985,27789,28216
05067,"Jackson, AR",23609,25858,25516,26746,28603,30965,33913,34125,34335
05069,"Jefferson, AR",27041,27820,28404,28952,30195,30785,31204,31570,31694
05071,"Johnson, AR",22329,23467,22478,23318,24375,25640,26432,27681,27953
05073,"Lafayette, AR",25850,26766,25779,25366,27614,30435,32423,34473,33935
05075,"Lawrence, AR",23119,24749,25237,25413,26311,28654,30130,30810,30998
05077,"Lee, AR",23500,23330,22391,23105,27536,26023,27737,24646,24614
05079,"Lincoln, AR",20704,20672,20550,21375,21497,23122,25863,24596,23978
05081,"Little River, AR",27011,28637,27854,29104,30131,30123,30513,32550,33365
05083,"Logan, AR",26416,27728,26228,27146,27794,29780,29852,32590,32093
05085,"Lonoke, AR",30507,31601,31908,32668,33616,34732,35399,35763,36460
05087,"Madison, AR",25187,25171,23635,24359,24937,27665,29548,32480,32679
05089,"Marion, AR",23314,23526,23859,24193,24948,25513,26650,27711,29472
05091,"Miller, AR",27486,27733,27344,28621,29826,30597,29463,30794,31380
05093,"Mississippi, AR",25890,27161,26065,27665,30498,27810,29719,29606,28648
05095,"Monroe, AR",24691,26432,25701,26746,28754,29897,35108,30942,29372
05097,"Montgomery, AR",22266,23145,23117,23438,24488,25687,26499,27299,27587
05099,"Nevada, AR",26103,26864,25673,27276,28192,28385,27999,29594,30891
05101,"Newton, AR",21430,21972,21981,23094,23977,25269,25127,26970,27387
05103,"Ouachita, AR",26679,28499,29160,30662,31425,32000,32335,33441,34206
05105,"Perry, AR",26520,27190,27680,29358,30801,31367,31419,31964,33221
05107,"Phillips, AR",25738,26119,26008,26363,28487,28304,30121,29236,28849
05109,"Pike, AR",25434,26031,25497,25574,26976,27774,27895,30113,31351
05111,"Poinsett, AR",25516,27630,27090,27570,28181,28718,30600,29807,29447
05113,"Polk, AR",22491,23982,23081,23749,24361,26181,26488,28757,28535
05115,"Pope, AR",27310,28543,27498,28692,29645,30847,30895,31995,32928
05117,"Prairie, AR",25339,28585,29123,28316,28567,30669,34619,33539,31246
05119,"Pulaski, AR",42436,42524,41441,41348,42673,45400,43641,45266,46870
05121,"Randolph, AR",24095,24423,25340,26256,26837,27799,28389,29779,28989
05123,"St. Francis, AR",21214,22010,22563,22934,24737,24234,25856,26140,26032
05125,"Saline, AR",31589,32941,33116,33881,35623,37083,37104,38400,39010
05127,"Scott, AR",21544,22240,21416,22012,22252,24858,26095,28050,28736
05129,"Searcy, AR",22299,23286,23836,24431,25494,25660,25494,26943,26842
05131,"Sebastian, AR",31884,33463,32433,32930,35746,36544,36520,38236,39082
05133,"Sevier, AR",24037,24159,23149,23536,23860,26514,27758,30613,30657
05135,"Sharp, AR",24478,25754,25939,26840,26876,27993,28388,31294,31748
05137,"Stone, AR",22880,23787,23965,24505,25519,26244,26553,29165,29482
05139,"Union, AR",38578,42110,36750,37795,40529,44556,42492,43562,40760
05141,"Van Buren, AR",22730,23673,23964,25272,27730,27668,28041,30002,30270
05143,"Washington, AR",29254,29198,28203,29069,30217,32105,32959,34821,36429
