GeoFIPS,GeoName,2001,2002,2003,2004,2005,2006
06025,"Imperial, CA",4964608,6020679,5596632,5383995,5877892,6297795
06027,"Inyo, CA",965714,1111568,1076625,1105228,1097048,1113239
06029,"Kern, CA",25755077,29012540,28711292,31081743,33134867,37563159
06031,"Kings, CA",4390062,4655085,5139149,5394188,5647094,5257435
06033,"Lake, CA",1506160,1724205,1715429,1730232,1719832,1789316
06035,"Lassen, CA",927404,987064,1020138,1011939,1038774,1076862
06037,"Los Angeles, CA",503930481,515035239,532771908,547186213,561223732,583748936
06039,"Madera, CA",3232896,3645694,3776368,4333401,4657830,4851624
06041,"Marin, CA",18364146,19231189,19522211,18458177,18345518,18669023
06043,"Mariposa, CA",539365,569676,571975,607737,644491,661549
06045,"Mendocino, CA",3151675,3272134,3274995,3152454,3159952,3299503
06047,"Merced, CA",5882351,6228573,6787299,7429253,7767455,7604136
06049,"Modoc, CA",253562,317537,293992,276574,320058,320475
06051,"Mono, CA",769602,859898,920019,893161,1010851,957182
06053,"Monterey, CA",21467714,22707029,22677669,20329457,20831154,22325843
06055,"Napa, CA",7692253,8125294,8215031,8134485,8555837,8547432
06057,"Nevada, CA",3440456,3665890,3710428,3676741,3785424,3867355
06059,"Orange, CA",173011458,178279658,190327400,198881247,209880551,217635923
06061,"Placer, CA",12638112,13529428,14820669,15650288,16622639,16977804
06063,"Plumas, CA",890115,994920,1102189,1076407,1058762,1174926
06065,"Riverside, CA",51420285,54805856,58801219,63373460,68083178,71424698
06067,"Sacramento, CA",66648268,68445575,71424823,73543172,77483295,79905067
06069,"San Benito, CA",1668028,1761437,1899625,1910333,1949034,2086821
06071,"San Bernardino, CA",58916800,61292319,65404396,69556145,73671854,76224344
06073,"San Diego, CA",152305286,159296690,167846972,177125125,186576147,190800982
06075,"San Francisco, CA",96979704,91606557,90194531,89086451,93702505,97393698
06077,"San Joaquin, CA",22012070,23016670,24072702,25030619,26422098,25852898
06079,"San Luis Obispo, CA",11694504,12969052,13283366,13372822,13875713,14147487
06081,"San Mateo, CA",55508753,52600024,53860260,55540862,57098643,60178419
06083,"Santa Barbara, CA",18704967,19509021,20301422,20957739,21866361,22217771
06085,"Santa Clara, CA",114379551,109854356,116812794,120865726,128933564,137713799
06087,"Santa Cruz, CA",11886844,11886240,12186113,11811055,11853826,11785891
06089,"Shasta, CA",6593736,7329141,7532447,7375264,7229051,7531668
06091,"Sierra, CA",118555,116164,113575,106816,111441,111627
06093,"Siskiyou, CA",1354418,1526489,1444473,1424598,1407477,1484004
06095,"Solano, CA",16109477,16180224,16883711,17011575,17623781,17873657
06097,"Sonoma, CA",22424276,23360909,23193391,23112212,23574318,23737230
06099,"Stanislaus, CA",16559172,17211668,17828749,18906794,19533906,19987363
06101,"Sutter, CA",2532153,3067456,3074716,3111914,3005880,3235685
06103,"Tehama, CA",1419839,1518222,1553812,1628286,1739505,1657115
06105,"Trinity, CA",327124,363755,386418,373886,352092,367853
06107,"Tulare, CA",11635782,10822959,11393198,12631250,13871037,13084688
06109,"Tuolumne, CA",1914694,2265038,2296930,2317515,2433650,2489599
06111,"Ventura, CA",39016318,40234620,42820863,46880813,49219057,54587334
06113,"Yolo, CA",10021979,10202456,10568911,11055339,11230028,11399368
06115,"Yuba, CA",2204099,2374643,2502333,2426950,2461033,2588931
08001,"Adams, CO*",14971683,15354985,15870969,16631045,17178897,17650850
08003,"Alamosa, CO",569115,691749,562323,585393,612862,613425
08005,"Arapahoe, CO",36567316,36109396,35659269,34623211,35504473,36749466
08007,"Archuleta, CO",363083,375219,369177,353005,386912,422566
08009,"Baca, CO",191657,133004,188493,179738,199710,146030
08011,"Bent, CO",159983,129997,152120,151344,149490,143629
08013,"Boulder, CO*",18415749,17260441,17553246,18101795,18559869,19086383
08014,"Broomfield, CO*",(NA),2345076,2687500,2981712,3344742,3688722
08015,"Chaffee, CO",543014,562300,555084,545353,556403,559214
08017,"Cheyenne, CO",152077,125462,168195,157424,166949,152304
08019,"Clear Creek, CO",434423,467139,512615,517840,649350,569431
08021,"Conejos, CO",135058,133638,146342,145164,144706,133416
08023,"Costilla, CO",79013,107685,71974,70854,74160,74614
08025,"Crowley, CO",163136,130255,117184,135729,162049,153866
08027,"Custer, CO",108463,113265,114833,115806,104515,103359
08029,"Delta, CO",836995,855321,877012,864607,903999,949804
08031,"Denver, CO",57400848,54227252,53977170,54508550,56781566,56784202
08033,"Dolores, CO",22272,24340,23234,22907,26373,26233
08035,"Douglas, CO",6932084,7381385,7981478,8865580,10125997,11064091
08037,"Eagle, CO",3210312,3201851,3199280,3274116,3573169,3876584
08039,"Elbert, CO",393504,418459,410916,402579,394601,380011
08041,"El Paso, CO",25414053,25543086,25847853,26380637,27760536,28199975
08043,"Fremont, CO",1345716,1322723,1329212,1324936,1366269,1324469
08045,"Garfield, CO",1755108,1846386,1985386,2128571,2566841,3145711
08047,"Gilpin, CO",638503,683444,625077,617762,646260,603749
08049,"Grand, CO",654770,673395,668799,735614,767957,814043
08051,"Gunnison, CO",1012950,1030469,1139230,1118288,1241057,1237311
08053,"Hinsdale, CO",34972,37347,37438,38154,40276,42208
08055,"Huerfano, CO",242110,242923,246242,255055,250677,249622
08057,"Jackson, CO",44147,48183,48881,51585,61865,72217
08059,"Jefferson, CO*",25600412,25559745,24986557,24671683,25452296,25079475
08061,"Kiowa, CO",95102,57216,83854,62513,66937,46949
08063,"Kit Carson, CO",333595,291875,393920,360064,398567,345488
08065,"Lake, CO",180355,184539,187075,186088,189162,198512
08067,"La Plata, CO",2535552,2787898,3115937,3266527,3553918,3536636
08069,"Larimer, CO",11094887,11866348,11971230,12241534,12590720,12865880
08071,"Las Animas, CO",406428,474331,513071,552653,627084,688157
08073,"Lincoln, CO",163391,175875,171394,168461,164544,168587
08075,"Logan, CO",881081,869658,867155,825280,863291,919673
08077,"Mesa, CO",4668891,4811522,4945914,5115063,5445558,5791353
08079,"Mineral, CO",46085,51279,49645,48053,48367,51263
08081,"Moffat, CO",1077958,1101305,1152547,1187330,1270977,1321403
08083,"Montezuma, CO",876942,962055,1100460,1189353,1402498,1432502
08085,"Montrose, CO",1232702,1266333,1305452,1360279,1459578,1507078
08087,"Morgan, CO",1332508,1304291,1325847,1263887,1281768,1401573
08089,"Otero, CO",612360,591186,600512,579056,613897,591875
08091,"Ouray, CO",155753,168391,193957,180422,173409,178139
08093,"Park, CO",305001,319175,319943,318999,330087,329302
08095,"Phillips, CO",217415,168596,191746,166044,167737,149755
08097,"Pitkin, CO",1955457,1951444,1928132,1978988,2134885,2166191
08099,"Prowers, CO",519955,521150,539406,523846,574655,573419
08101,"Pueblo, CO",4852134,4905780,5012820,5282428,4979588,5126891
08103,"Rio Blanco, CO",388133,444399,480728,507002,614146,679380
08105,"Rio Grande, CO",362800,436397,348440,358971,384172,394105
08107,"Routt, CO",2066887,2150675,2122056,2040768,2085015,2012010
08109,"Saguache, CO",118679,173486,98788,122384,158065,146978
08111,"San Juan, CO",34406,38327,36872,28462,30569,34185
08113,"San Miguel, CO",623663,633511,630314,623617,690467,740722
08115,"Sedgwick, CO",92807,75130,93202,101301,103997,93993
08117,"Summit, CO",1992552,2000082,1975659,2007915,2007557,2189203
08119,"Teller, CO",684504,713082,720084,737627,788378,770738
08121,"Washington, CO",138943,129232,168227,147448,155599,150522
08123,"Weld, CO*",6635035,6583828,6830550,7358146,7954342,8137116
08125,"Yuma, CO",585300,712263,680006,678937,752991,868862
09001,"Fairfield, CT*",85296659,85271885,84914037,89609770,92292286,95983980
09003,"Hartford, CT*",64662609,61231581,62933472,68183389,69236598,73211828
09005,"Litchfield, CT*",8457975,8518608,8548639,8466486,8415026,8566182
09007,"Middlesex, CT*",9662010,9137159,8897954,9837132,10363553,11139960
09009,"New Haven, CT*",44067555,44985567,45340301,48260547,48700106,49935278
09011,"New London, CT*",15552094,16322816,17125052,19093687,19690197,20718699
09013,"Tolland, CT*",4789260,4788099,4859847,4994986,5089992,5144621
09015,"Windham, CT*",4126449,4445885,4430320,4502051,4738524,5077038
09110,"Capitol, CT*",(NA),(NA),(NA),(NA),(NA),(NA)
09120,"Greater Bridgeport, CT*",(NA),(NA),(NA),(NA),(NA),(NA)
09130,"Lower Connecticut River Valley, CT*",(NA),(NA),(NA),(NA),(NA),(NA)
09140,"Naugatuck Valley, CT*",(NA),(NA),(NA),(NA),(NA),(NA)
09150,"Northeastern Connecticut, CT*",(NA),(NA),(NA),(NA),(NA),(NA)
09160,"Northwest Hills, CT*",(NA),(NA),(NA),(NA),(NA),(NA)
09170,"South Central Connecticut, CT*",(NA),(NA),(NA),(NA),(NA),(NA)
09180,"Southeastern Connecticut, CT*",(NA),(NA),(NA),(NA),(NA),(NA)
09190,"Western Connecticut, CT*",(NA),(NA),(NA),(NA),(NA),(NA)
10001,"Kent, DE",6093023,6233227,6417318,7140541,7155882,7328201
10003,"New Castle, DE",50454362,48813986,49110506,51270459,49296006,50795811
10005,"Sussex, DE",9138224,8620233,8756063,9298274,9912162,10269942
11001,"District of Columbia, DC",96185345,99014659,100969449,106547191,108884101,108848328
