GeoFIPS,GeoName,2007,2008,2009,2010,2011,2012,2013,2014,2015
06041,"Marin, CA",18240116,18547083,17961702,18238164,18543600,19143313,19841778,20706016,21428614
06043,"Mariposa, CA",670364,620916,613080,622188,690766,637668,623588,627702,636738
06045,"Mendocino, CA",3298696,3288094,3185268,3401713,3350173,3181548,3211620,3296368,3381858
06047,"Merced, CA",8517193,7491142,7253520,7418508,7639161,7402451,7653680,8411849,8608451
06049,"Modoc, CA",311881,368875,399290,374134,337813,305924,308020,323169,353671
06051,"Mono, CA",912119,933435,890530,957690,962813,893427,880953,878081,881234
06053,"Monterey, CA",21360900,21062003,22377864,21882546,20629712,21478467,22733536,23125636,25086928
06055,"Napa, CA",8767280,8870551,8629252,8503238,8378966,8944462,9405317,10090491,10593191
06057,"Nevada, CA",3911896,3874678,3891712,4079897,4141006,4059273,4203609,4095675,4168736
06059,"Orange, CA",217078906,210920162,198719180,205317439,205087109,212680793,217421708,221027042,229738358
06061,"Placer, CA",16924593,16685837,16228065,16776601,17168175,18050251,18730154,19256016,20477469
06063,"Plumas, CA",1009383,1048146,1037521,1088605,1138167,900543,937471,864200,849304
06065,"Riverside, CA",72337200,70416943,66790719,68835343,70440569,70391947,73802348,76101228,79908186
06067,"Sacramento, CA",81054187,80347318,76236787,74412439,76136340,76661446,79035193,81010890,83847085
06069,"San Benito, CA",2021147,1884473,1889020,1918522,1916887,1922579,1917804,1894591,2028329
06071,"San Bernardino, CA",78070933,76637924,71497246,72119139,73405846,73933946,76156280,79131530,82533725
06073,"San Diego, CA",194328788,193238641,183920034,186568771,190527186,193126868,201179560,207374059,214131174
06075,"San Francisco, CA",100254666,100228048,100887861,103863514,111215845,121994272,127409234,137585620,147977140
06077,"San Joaquin, CA",25954332,25191852,24773148,24217769,24072391,24343657,25277469,26180174,27471639
06079,"San Luis Obispo, CA",14089588,13618390,13325930,14017954,14264171,14621518,15164735,15461958,16372072
06081,"San Mateo, CA",61425414,61685111,62499270,63882026,66847544,81943922,87237625,91919193,97975531
06083,"Santa Barbara, CA",22670140,23223812,23621228,23400850,23531863,24177358,24612326,25239236,26569565
06085,"Santa Clara, CA",151912514,160018867,156210615,169942756,185699289,194880453,215704205,231420668,252061614
06087,"Santa Cruz, CA",11796626,11883271,12064825,13028773,12856863,12648140,13069005,13407685,13538926
06089,"Shasta, CA",7298233,7070736,6916958,7148754,7309077,7022507,7021036,7170116,7314111
06091,"Sierra, CA",111777,107974,104788,107320,101644,94128,91989,87796,86137
06093,"Siskiyou, CA",1434848,1545642,1407925,1386468,1519234,1467639,1432259,1492426,1626375
