"CAINC1 County personal income summary: personal income, population, per capita personal income"
"CAINC1 County personal income summary: personal income, population, per capita personal income"
County
GeoFIPS,GeoName,2001,2002,2003,2004,2005,2006
08053,"Hinsdale, CO",23629,24356,26608,26351,29582,28147
08055,"Huerfano, CO",19438,20045,20430,22087,23071,25131
08057,"Jackson, CO",21149,24549,25603,26633,30777,32823
08059,"Jefferson, CO*",41683,40803,40913,42526,43099,44554
08061,"Kiowa, CO",34405,25754,32245,29638,30744,26773
08063,"Kit Carson, CO",26189,22624,27615,26215,27655,24948
08065,"Lake, CO",22483,22571,23344,23911,25063,26790
08067,"La Plata, CO",28927,29295,30951,33660,35879,38635
08069,"Larimer, CO",32066,31841,31758,32719,33972,35739
08071,"Las Animas, CO",22024,22912,22868,24566,25952,27595
08073,"Lincoln, CO",19319,18921,20330,21330,22116,21605
08075,"Logan, CO",26211,24816,25568,26109,27583,29413
08077,"Mesa, CO",27268,27597,27832,28695,30470,32669
08079,"Mineral, CO",31374,32950,33150,29846,30865,33212
08081,"Moffat, CO",25026,26275,27638,27960,30980,32668
08083,"Montezuma, CO",23396,23673,24391,25218,26852,28243
08085,"Montrose, CO",24080,24481,25167,26369,28659,29515
08087,"Morgan, CO",23946,23735,24442,25111,25940,26483
08089,"Otero, CO",23641,23441,24333,24939,26450,26607
08091,"Ouray, CO",34039,34909,37801,38926,38870,43044
08093,"Park, CO",30766,29596,29735,30545,31509,32266
08095,"Phillips, CO",27673,23724,25999,25009,25380,24385
08097,"Pitkin, CO",79114,78385,81952,85400,95630,107329
08099,"Prowers, CO",23821,22683,24433,25489,26312,26033
08101,"Pueblo, CO",24224,24616,25254,25977,26456,27277
08103,"Rio Blanco, CO",23803,24808,26076,28537,33494,36283
08105,"Rio Grande, CO",23491,25166,23578,24426,25694,26741
08107,"Routt, CO",45230,46982,45084,45723,46768,49051
08109,"Saguache, CO",17605,19613,16650,18960,21536,21550
08111,"San Juan, CO",31153,34613,32267,27593,31321,36935
08113,"San Miguel, CO",46580,46813,46507,47920,52470,57943
08115,"Sedgwick, CO",27559,23956,26999,29262,29798,27821
08117,"Summit, CO",36583,36007,35388,37744,39325,45187
08119,"Teller, CO",30097,29742,30545,32789,34277,35578
08121,"Washington, CO",23834,20128,24213,24684,24980,23817
08123,"Weld, CO*",26015,24828,25223,27059,28688,29978
08125,"Yuma, CO",32045,30213,31175,33321,37398,37355
09001,"Fairfield, CT*",66195,64643,64486,68225,73568,81275
09003,"Hartford, CT*",38799,38760,39330,41617,43350,46285
09005,"Litchfield, CT*",41809,41347,41744,42968,44416,47368
09007,"Middlesex, CT*",41245,40951,41448,43607,44724,47574
09009,"New Haven, CT*",36754,36941,37010,38174,39386,41765
09011,"New London, CT*",35101,35910,37226,39478,40462,42205
09013,"Tolland, CT*",36423,35991,35861,36981,37656,39724
09015,"Windham, CT*",30553,30825,31132,31707,32371,33919
09110,"Capitol, CT*",(NA),(NA),(NA),(NA),(NA),(NA)
09120,"Greater Bridgeport, CT*",(NA),(NA),(NA),(NA),(NA),(NA)
09130,"Lower Connecticut River Valley, CT*",(NA),(NA),(NA),(NA),(NA),(NA)
09140,"Naugatuck Valley, CT*",(NA),(NA),(NA),(NA),(NA),(NA)
09150,"Northeastern Connecticut, CT*",(NA),(NA),(NA),(NA),(NA),(NA)
09160,"Northwest Hills, CT*",(NA),(NA),(NA),(NA),(NA),(NA)
09170,"South Central Connecticut, CT*",(NA),(NA),(NA),(NA),(NA),(NA)
09180,"Southeastern Connecticut, CT*",(NA),(NA),(NA),(NA),(NA),(NA)
09190,"Western Connecticut, CT*",(NA),(NA),(NA),(NA),(NA),(NA)
10001,"Kent, DE",26934,28123,29442,30849,31156,32483
10003,"New Castle, DE",42028,42926,42538,42635,42929,44856
10005,"Sussex, DE",28837,28955,30905,33897,34432,35603
11001,"District of Columbia, DC",44809,45124,45978,49986,52686,55384
12001,"Alachua, FL",26168,26607,27282,29832,31538,33152
12003,"Baker, FL",21143,21619,22823,23776,24241,25059
12005,"Bay, FL",26739,27899,29480,30921,32565,34302
12007,"Bradford, FL",19770,20198,20550,20934,21533,21984
12009,"Brevard, FL",28512,28911,30222,31596,33112,35038
12011,"Broward, FL",32405,32993,33839,35590,37736,39918
12013,"Calhoun, FL",18251,18349,18851,19075,19890,20250
12015,"Charlotte, FL",26783,26446,27165,28747,30881,32677
12017,"Citrus, FL",23348,23747,24597,25379,27054,28573
12019,"Clay, FL",28354,29070,30636,31371,32946,33926
12021,"Collier, FL",46218,46308,47539,52671,57706,64966
12023,"Columbia, FL",21451,22071,22312,23674,24816,25322
12027,"DeSoto, FL",17375,17377,17324,18250,19795,20801
12029,"Dixie, FL",17097,17531,17701,18537,19288,19532
12031,"Duval, FL",29899,30561,32010,33060,34907,36932
12033,"Escambia, FL",25532,26282,27473,28505,29692,31496
